14-day rolling mean,upper_band,lower_band,Average Daily Price
52.54285714285712,53.56932018341386,51.51639410230039,52.0
52.5035714285714,53.601446499029,51.405696358113794,51.84
52.64999999999997,54.094352396805,51.20564760319494,53.46
53.57142857142854,60.38732788967599,46.755529253181095,63.67
54.707142857142834,64.89543607442516,44.51884963986051,68.46
55.34642857142855,66.27750384302963,44.41535329982746,63.59
56.22499999999997,68.26466201927875,44.18533798072121,64.79
56.896428571428544,69.26533899453968,44.52751814831742,63.18
57.749999999999964,70.26718818265512,45.23281181734481,63.62
58.71785714285711,71.51212311469948,45.92359117101475,65.78
59.56428571428569,72.31113621949675,46.81743520907463,64.93
60.4142857142857,72.80003612299387,48.02853530557752,64.86
61.13214285714283,72.77183669020708,49.49244902407858,63.12
61.799999999999976,72.29842479026848,51.30157520973147,62.66
62.5392857142857,71.32171384983255,53.75685757873884,61.9
