,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
62,2019-07-29,1912.45,1930.0,1932.23,1890.54,4.49,7,2019,0.007331988433156189,Slight or No change
63,2019-07-26,1943.05,1942.0,1950.89,1924.51,4.93,7,2019,0.016000418311589826,Slight or No change
64,2019-07-25,1973.82,2001.0,2001.2,1972.72,4.14,7,2019,0.015835928051259662,Slight or No change
65,2019-07-24,2000.81,1969.3,2001.3,1965.87,2.63,7,2019,0.01367399256264501,Slight or No change
66,2019-07-23,1994.49,1995.99,1997.79,1973.13,2.7,7,2019,-0.003158720718109187,Slight or No change
67,2019-07-22,1985.63,1971.14,1989.0,1958.26,2.91,7,2019,-0.004442238366700213,Slight or No change
68,2019-07-19,1964.52,1991.21,1996.0,1962.23,3.19,7,2019,-0.010631386512089391,Slight or No change
69,2019-07-18,1977.9,1980.01,1987.5,1951.55,3.5,7,2019,0.006810824018080863,Slight or No change
70,2019-07-17,1992.03,2007.05,2012.0,1992.03,2.56,7,2019,0.007143940543000049,Slight or No change
71,2019-07-16,2009.9,2010.58,2026.32,2001.22,2.62,7,2019,0.008970748432503672,Slight or No change
72,2019-07-15,2020.99,2021.4,2022.9,2001.55,2.98,7,2019,0.005517687447136543,Slight or No change
73,2019-07-12,2011.0,2008.27,2017.0,2003.87,2.51,7,2019,-0.004943121935289119,Slight or No change
74,2019-07-11,2001.07,2025.62,2035.8,1995.3,4.32,7,2019,-0.004937841869716575,Slight or No change
75,2019-07-10,2017.41,1996.51,2024.94,1995.4,4.93,7,2019,0.008165631387207828,Slight or No change
76,2019-07-09,1988.3,1947.8,1990.01,1943.47,4.35,7,2019,-0.014429392141409147,Slight or No change
77,2019-07-08,1952.32,1934.12,1956.0,1928.25,2.88,7,2019,-0.018095860785595774,Slight or No change
78,2019-07-05,1942.91,1928.6,1945.9,1925.3,2.63,7,2019,-0.0048199065726929335,Slight or No change
79,2019-07-03,1939.0,1935.89,1941.59,1930.5,1.69,7,2019,-0.0020124452496513845,Slight or No change
80,2019-07-02,1934.31,1919.38,1934.79,1906.63,2.65,7,2019,-0.0024187725631769075,Slight or No change
81,2019-07-01,1922.19,1922.98,1929.82,1914.66,3.2,7,2019,-0.006265800207825967,Slight or No change
82,2019-06-28,1893.63,1909.1,1912.94,1884.0,3.04,6,2019,-0.014858052533828547,Slight or No change
83,2019-06-27,1904.28,1902.0,1911.24,1898.04,2.14,6,2019,0.005624118756039964,Slight or No change
84,2019-06-26,1897.83,1892.48,1903.8,1887.32,2.44,6,2019,-0.0033871069380553287,Slight or No change
85,2019-06-25,1878.27,1911.84,1916.38,1872.42,3.01,6,2019,-0.01030650795909005,Slight or No change
86,2019-06-24,1913.9,1912.66,1916.86,1901.3,2.28,6,2019,0.018969583712671767,Slight or No change
87,2019-06-21,1911.3,1916.1,1925.95,1907.58,3.93,6,2019,-0.001358482679345907,Slight or No change
88,2019-06-20,1918.19,1933.33,1935.2,1905.8,3.22,6,2019,0.00360487626223005,Slight or No change
89,2019-06-19,1908.79,1907.84,1919.58,1892.47,2.9,6,2019,-0.0049004530312430905,Slight or No change
90,2019-06-18,1901.37,1901.35,1921.67,1899.79,3.9,6,2019,-0.0038872793759398006,Slight or No change
91,2019-06-17,1886.03,1876.5,1895.69,1875.45,2.63,6,2019,-0.008067866853900041,Slight or No change
92,2019-06-14,1869.67,1864.0,1876.0,1859.0,2.85,6,2019,-0.008674305286766382,Slight or No change
93,2019-06-13,1870.3,1866.72,1883.09,1862.22,2.8,6,2019,0.00033695785887344343,Slight or No change
94,2019-06-12,1855.32,1853.98,1865.0,1844.38,2.68,6,2019,-0.008009410255039318,Slight or No change
95,2019-06-11,1863.7,1883.25,1893.7,1858.0,4.04,6,2019,0.004516741047366546,Slight or No change
96,2019-06-10,1860.63,1822.0,1884.87,1818.0,5.37,6,2019,-0.0016472608252400267,Slight or No change
97,2019-06-07,1804.03,1763.7,1806.25,1759.49,4.81,6,2019,-0.03041980404486655,Slight or No change
98,2019-06-06,1754.36,1737.71,1760.0,1726.13,3.69,6,2019,-0.027532801560949727,Slight or No change
99,2019-06-05,1738.5,1749.6,1752.0,1715.25,4.24,6,2019,-0.009040333796940137,Slight or No change
100,2019-06-04,1729.56,1699.24,1730.82,1680.89,5.68,6,2019,-0.0051423641069887616,Slight or No change
101,2019-06-03,1692.69,1760.01,1766.29,1672.0,9.1,6,2019,-0.0213175605356275,Slight or No change
102,2019-05-31,1775.07,1790.01,1795.59,1772.7,4.62,5,2019,0.048668096343689626,Slight or No change
103,2019-05-30,1816.32,1825.49,1829.47,1807.83,3.15,5,2019,0.02323852017103545,Slight or No change
104,2019-05-29,1819.19,1823.12,1830.0,1807.53,4.28,5,2019,0.001580118040873879,Slight or No change
105,2019-05-28,1836.43,1832.75,1849.27,1827.35,3.2,5,2019,0.009476745144817222,Slight or No change
106,2019-05-24,1823.28,1835.89,1841.76,1817.85,3.37,5,2019,-0.007160632313782722,Slight or No change
107,2019-05-23,1815.48,1836.59,1844.0,1804.2,4.42,5,2019,-0.004278004475450792,Slight or No change
108,2019-05-22,1859.68,1851.78,1871.48,1851.0,2.94,5,2019,0.024346178421133846,Slight or No change
109,2019-05-21,1857.52,1874.79,1879.0,1846.0,4.01,5,2019,-0.0011614901488428142,Slight or No change
110,2019-05-20,1858.97,1852.69,1867.78,1835.54,3.8,5,2019,0.00078061070674873,Slight or No change
111,2019-05-17,1869.0,1893.05,1910.53,1867.33,4.74,5,2019,0.00539546092728771,Slight or No change
112,2019-05-16,1907.57,1885.94,1917.51,1882.29,4.71,5,2019,0.02063670411985008,Slight or No change
113,2019-05-15,1871.15,1827.95,1874.43,1823.0,4.69,5,2019,-0.019092353098444592,Slight or No change
114,2019-05-14,1840.12,1839.5,1852.44,1815.75,4.63,5,2019,-0.016583384549608615,Slight or No change
115,2019-05-13,1822.68,1836.56,1846.54,1818.0,5.78,5,2019,-0.009477642762428462,Slight or No change
116,2019-05-10,1889.98,1898.0,1903.79,1856.0,5.72,5,2019,0.036923650887703774,Slight or No change
117,2019-05-09,1899.87,1900.0,1909.4,1876.0,5.31,5,2019,0.005232859606979945,Slight or No change
118,2019-05-08,1917.77,1918.87,1935.37,1910.0,4.08,5,2019,0.009421697274023977,Slight or No change
119,2019-05-07,1921.0,1939.99,1949.1,1903.38,5.9,5,2019,0.0016842478503678038,Slight or No change
